First Letter;Number Languages;Writing Hand;Shoe Size;Length;Blood Type;Resus Factor;Siblings;Internet Purchase;Mobile Devices;Leisure;Hours Math;Importance AI Study;Antwerp Address;Travel Distance;Travel Time;Driver License;Smoker;Fruit;Favorite Fruit;OS;App;Biden;Class Mascot;Study Load
s;4;Left;45;178;O;-;1;Yes;5;Sport (practicing/supporting);3;Very great importance;Yes;0.8;10;Yes;Yes;3;1=Banana,2=Strawberry,3=Pineapple,4=Cherry,5=Kiwi,6=Melon,7=Pear,8=Orange,9=Apple,10=Plum;iOS;Browser App;3;1=Cougar,2=Panther,3=Fox,4=Wolf,5=Brown Bear,6=Beaver,7=Badger,8=Raccoon,9=Bison,10=Otter;26-30 hours
E;2;Right;44;177;O;+;3;No;2;Sport (practicing/supporting);80;Very great importance;Yes;1;10;No;No;1 or less;1=Banana,2=Apple,3=Melon,4=Orange,5=Plum,6=Pineapple,7=Strawberry,8=Cherry,9=Kiwi,10=Kiwi;Windows;Pay app;3;1=Brown Bear,2=Wolf,3=Fox,4=Beaver,5=Badger,6=Bison,7=Raccoon,8=Otter,9=Cougar,10=Panther;>= 41 hours
S;3;Right;42;182;B;-;1;Yes;2;Gaming;6;Not at all;Yes;0.2;4;Yes;Yes;1 or less;1=Pineapple,2=Banana,3=Strawberry,4=Melon,5=Cherry,6=Pear,7=Plum,8=Orange,9=Kiwi,10=Apple;Other;Other App;3;1=Panther,2=Cougar,3=Fox,4=Wolf,5=Brown Bear,6=Beaver,7=Badger,8=Bison,9=Raccoon,10=Otter;>= 41 hours
B;2;Right;43;180;Unknown;Unknown;1;No;2;Gaming;0;Great importance;Yes;1.4;15;Yes;No;1 or less;1=Strawberry,2=Orange,3=Pear,4=Apple,5=Plum,6=Pineapple,7=Cherry,8=Banana,9=Melon,10=Kiwi;Windows;Other App;8;1=Beaver,2=Badger,3=Raccoon,4=Fox,5=Wolf,6=Otter,7=Bison,8=Brown Bear,9=Cougar,10=Panther;21-25 hours
p;3;Right;44;185;Unknown;Unknown;2;Yes;2;Sport (practicing/supporting);6;Moderate importance;Yes;1;10;No;Yes;2;1=Banana,2=Pear,3=Orange,4=Apple,5=Kiwi,6=Strawberry,7=Melon,8=Cherry,9=Pineapple,10=Plum;Windows;Public Transport App;4;1=Wolf,2=Fox,3=Brown Bear,4=Bison,5=Panther,6=Cougar,7=Raccoon,8=Beaver,9=Badger,10=Otter;16-20 hours
A;3;Right;37;160;A;-;0;Yes;4;Gaming;8;Great importance;Yes;41;46;No;No;1 or less;1=Strawberry,2=Cherry,3=Kiwi,4=Apple,5=Melon,6=Plum,7=Banana,8=Pear,9=Orange,10=Pineapple;iOS;Social Netwerk App;8;1=Fox,2=Wolf,3=Raccoon,4=Brown Bear,5=Cougar,6=Panther,7=Beaver,8=Badger,9=Bison,10=Otter;26-30 hours
J;3;Right;41;172;Unknown;Unknown;2;Yes;2;Dancing;120;Moderate importance;Yes;1;15;No;No;2;1=Apple,2=Pineapple,3=Strawberry,4=Kiwi,5=Cherry,6=Pear,7=Banana,8=Orange,9=Plum,10=Melon;Windows;Calendar App;4;1=Otter,2=Fox,3=Bison,4=Raccoon,5=Wolf,6=Panther,7=Cougar,8=Badger,9=Beaver,10=Brown Bear;21-25 hours
S;3;Right;44.5;173;O;-;3;Yes;2;Gaming;3;Moderate importance;Yes;2.3;9;Yes;No;2;1=Orange,2=Apple,3=Banana,4=Melon,5=Strawberry,6=Pineapple,7=Kiwi,8=Cherry,9=Pear,10=Plum;iOS;Social Netwerk App;3;1=Otter,2=Raccoon,3=Badger,4=Beaver,5=Wolf,6=Panther,7=Cougar,8=Fox,9=Bison,10=Brown Bear;26-30 hours
S;4;Right;42;170;B;+;1;Yes;3;Music (play/listen);Maths 1 and 2 (Five days a week);Moderate importance;No;0.5;5;No;Yes;1 or less;1=Strawberry,2=Pineapple,3=Cherry,4=Melon,5=Apple,6=Banana,7=Kiwi,8=Plum,9=Pear,10=Orange;Windows;GPS App;3;1=Raccoon,2=Brown Bear,3=Beaver,4=Wolf,5=Fox,6=Cougar,7=Panther,8=Badger,9=Otter,10=Bison;21-25 hours
Ludmila;3;Left;44;188;Unknown;Unknown;0;Yes;3;Music (play/listen);122 hours;Great importance;No;40;0;No;Yes;2;1=Cherry,2=Strawberry,3=Pineapple,4=Melon,5=Banana,6=Orange,7=Plum,8=Kiwi,9=Pear,10=Apple;Windows;GPS App;3;1=Raccoon,2=Brown Bear,3=Beaver,4=Wolf,5=Fox,6=Cougar,7=Panther,8=Badger,9=Otter,10=Bison;26-30 hours
R;3;Right;43;180;B;+;2;No;3;Watching movie/TV series;6;Extreemly important;Yes;2.6;10;Yes;No;1 or less;1=Apple,2=Strawberry,3=Banana,4=Melon,5=Orange,6=Pear,7=Kiwi,8=Cherry,9=Pineapple,10=Plum;iOS;Other App;8;1=Panther,2=Wolf,3=Fox,4=Brown Bear,5=Cougar,6=Beaver,7=Badger,8=Otter,9=Bison,10=Raccoon;36-40 hours
I;6;Right;43;195;Unknown;Unknown;2;No;2;Music (play/listen);216;Little importance;Yes;2.32;8;No;Yes;1 or less;1=Strawberry,2=Cherry,3=Melon,4=Pineapple,5=Orange,6=Kiwi,7=Pear,8=Plum,9=Apple,10=Banana;Windows;Banking Operations App;4;1=Panther,2=Cougar,3=Raccoon,4=Otter,5=Badger,6=Beaver,7=Brown Bear,8=Fox,9=Wolf,10=Bison;21-25 hours
M;3;Right;46;180;Unknown;Unknown;1;Yes;3;Sport (practicing/supporting);4;Very great importance;Yes;2.6;10;Yes;No;1 or less;1=Strawberry,2=Banana,3=Apple,4=Kiwi,5=Pineapple,6=Orange,7=Cherry,8=Melon,9=Pear,10=Plum;Windows;Social Netwerk App;3;1=Badger,2=Panther,3=Beaver,4=Wolf,5=Fox,6=Cougar,7=Bison,8=Otter,9=Raccoon,10=Brown Bear;26-30 hours
M;3;Right;36.5;165;B;+;1;Yes;5;Internet/Social Media;82;Great importance;Yes;3;30;No;No;1 or less;1=Banana,2=Kiwi,3=Cherry,4=Strawberry,5=Melon,6=Pear,7=Plum,8=Pineapple,9=Apple,10=Orange;Windows;GPS App;8;1=Beaver,2=Otter,3=Wolf,4=Panther,5=Cougar,6=Fox,7=Raccoon,8=Badger,9=Bison,10=Brown Bear;26-30 hours
Z;4;Right;39;169;A;+;3;Yes;4;Reading comics and/or manga;8;Great importance;Yes;2;45;No;Yes;1 or less;1=Pineapple,2=Plum,3=Banana,4=Strawberry,5=Kiwi,6=Apple,7=Orange,8=Melon,9=Cherry,10=Pear;Other;Browser App;3;1=Panther,2=Fox,3=Cougar,4=Wolf,5=Raccoon,6=Otter,7=Bison,8=Badger,9=Beaver,10=Brown Bear;<= 10 hours
A;2;Right;42;170;Unknown;Unknown;1;Yes;2;Gaming;450;Great importance;Yes;1.3;16;No;No;1 or less;1=Pineapple,2=Orange,3=Strawberry,4=Banana,5=Apple,6=Cherry,7=Melon,8=Pear,9=Kiwi,10=Plum;Windows;GPS App;2;1=Otter,2=Beaver,3=Badger,4=Raccoon,5=Bison,6=Fox,7=Wolf,8=Panther,9=Brown Bear,10=Cougar;>= 41 hours
M;2;Right;45;185;Unknown;Unknown;2;Yes;4;Reading comics and/or manga;0;Moderate importance;Yes;16;50;No;No;1 or less;1=Melon,2=Banana,3=Apple,4=Pineapple,5=Orange,6=Strawberry,7=Kiwi,8=Pear,9=Cherry,10=Plum;Windows;Social Netwerk App;4;1=Wolf,2=Panther,3=Brown Bear,4=Fox,5=Otter,6=Beaver,7=Badger,8=Raccoon,9=Bison,10=Cougar;11-15 hours
E;3;Right;46;180;Unknown;+;1;Yes;6;Gaming;5;Great importance;No;36;90;Yes;No;1 or less;1=Cherry,2=Apple,3=Banana,4=Kiwi,5=Orange,6=Strawberry,7=Pear,8=Plum,9=Pineapple,10=Melon;Windows;Other App;4;1=Panther,2=Fox,3=Wolf,4=Brown Bear,5=Badger,6=Beaver,7=Bison,8=Raccoon,9=Otter,10=Cougar;16-20 hours
S;4;Right;43;175;Unknown;Unknown;2;Yes;1;Gaming;5 per week;Moderate importance;Yes;12;60;Yes;No;1 or less;1=Strawberry,2=Kiwi,3=Apple,4=Pear,5=Melon,6=Pineapple,7=Banana,8=Orange,9=Plum,10=Cherry;Windows;Social Netwerk App;4;1=Fox,2=Bison,3=Beaver,4=Badger,5=Raccoon,6=Otter,7=Brown Bear,8=Wolf,9=Cougar,10=Panther;11-15 hours
S;4;Right;42;178;B;-;1;Yes;3;Gaming;6 a week;Very great importance;Yes;3;15;Yes;Yes;1 or less;1=Strawberry,2=Banana,3=Apple,4=Orange,5=Pear,6=Cherry,7=Pear,8=Plum,9=Pineapple,10=Melon;Windows;GPS App;4;1=Beaver,2=Brown Bear,3=Wolf,4=Fox,5=Badger,6=Raccoon,7=Cougar,8=Panther,9=Bison,10=Otter;16-20 hours
m;4;Right;42.5;175;Unknown;Unknown;2;No;2;Music (play/listen);5;Little importance;Yes;2.5;30;No;No;1 or less;1=Strawberry,2=Plum,3=Banana,4=Kiwi,5=Orange,6=Apple,7=Melon,8=Pineapple,9=Pear,10=Cherry;Windows;Game App;4;1=Brown Bear,2=Panther,3=Wolf,4=Cougar,5=Otter,6=Beaver,7=Raccoon,8=Fox,9=Bison,10=Badger;21-25 hours
N;3;Right;37;164;Unknown;Unknown;3;Yes;2;Watching movie/TV series;7;Extreemly important;Yes;3.3;30;No;No;1 or less;1=Pineapple,2=Banana,3=Strawberry,4=Orange,5=Pear,6=Kiwi,7=Cherry,8=Plum,9=Apple,10=Melon;iOS;Social Netwerk App;4;1=Panther,2=Wolf,3=Fox,4=Cougar,5=Raccoon,6=Otter,7=Badger,8=Brown Bear,9=Beaver,10=Bison;11-15 hours
J;4;Right;41;170;A;-;2;Yes;1;Music (play/listen);DONT REMEMBER;Very great importance;Yes;10;30;No;No;1 or less;1=Pineapple,2=Banana,3=Apple,4=Kiwi,5=Melon,6=Orange,7=Strawberry,8=Cherry,9=Pear,10=Plum;Windows;Social Netwerk App;8;1=Panther,2=Beaver,3=Fox,4=Wolf,5=Brown Bear,6=Otter,7=Badger,8=Bison,9=Raccoon,10=Cougar;11-15 hours
I;3;Right;43;181;Unknown;Unknown;4;Yes;2;Gaming;2 hours per day;Great importance;No;43;90;No;No;1 or less;1=Apple,2=Banana,3=Pear,4=Pineapple,5=Orange,6=Strawberry,7=Melon,8=Cherry,9=Kiwi,10=Plum;Windows;Game App;5;1=Fox,2=Panther,3=Wolf,4=Raccoon,5=Brown Bear,6=Otter,7=Bison,8=Badger,9=Beaver,10=Cougar;>= 41 hours
A;2;Right;44;185;Unknown;Unknown;1;Yes;2;Sport (practicing/supporting);240;Great importance;Yes;3;30;Yes;Yes;2;1=Strawberry,2=Banana,3=Pear,4=Orange,5=Apple,6=Pineapple,7=Cherry,8=Kiwi,9=Plum,10=Melon;Windows;Browser App;4;1=Panther,2=Wolf,3=Cougar,4=Bison,5=Brown Bear,6=Fox,7=Otter,8=Raccoon,9=Beaver,10=Badger;26-30 hours
E;4;Right;39;167;Unknown;Unknown;3;Yes;4;Watching movie/TV series;4;Moderate importance;Yes;20;70;Yes;Yes;1 or less;1=Apple,2=Cherry,3=Pineapple,4=Orange,5=Strawberry,6=Banana,7=Kiwi,8=Plum,9=Pear,10=Melon;Windows;Browser App;4;1=Wolf,2=Beaver,3=Fox,4=Panther,5=Raccoon,6=Otter,7=Cougar,8=Bison,9=Badger,10=Brown Bear;26-30 hours
E;2;Right;42;175;A;-;2;Yes;1;Gaming;200;Great importance;No;48;90;No;Yes;1 or less;1=Strawberry,2=Banana,3=Kiwi,4=Orange,5=Cherry,6=Melon,7=Apple,8=Pineapple,9=Pear,10=Plum;Windows;Browser App;4;1=Otter,2=Fox,3=Raccoon,4=Beaver,5=Wolf,6=Cougar,7=Panther,8=Brown Bear,9=Badger,10=Bison;36-40 hours
G;3;Right;48;192;O;-;1;No;3;Sport (practicing/supporting);6;Moderate importance;Yes;2.4;9;Yes;Yes;2;1=Cherry,2=Strawberry,3=Pear,4=Orange,5=Pineapple,6=Plum,7=Melon,8=Kiwi,9=Banana,10=Apple;iOS;GPS App;4;1=Beaver,2=Wolf,3=Cougar,4=Bison,5=Raccoon,6=Brown Bear,7=Panther,8=Otter,9=Fox,10=Badger;21-25 hours
L;3;Right;39;158;O;+;4;Yes;2;Watching movie/TV series;4 hours a week;Extreemly important;Yes;0.1;2;No;Yes;2;1=Kiwi,2=Banana,3=Pineapple,4=Pear,5=Orange,6=Melon,7=Apple,8=Cherry,9=Plum,10=Strawberry;Windows;Pay app;3;1=Panther,2=Wolf,3=Beaver,4=Bison,5=Fox,6=Badger,7=Raccoon,8=Otter,9=Cougar,10=Brown Bear;21-25 hours
